algorithm,trial,avg_error,max_error
spring,0,2.0943010846156356,2.192568673279655
spring,1,2.0863914158811414,2.191028219325765
spring,2,2.0916608351549884,2.1876805919641265
spring,3,2.077685979010878,2.1889252001731534
spring,4,2.082201142959445,2.191843306767967
spring,5,2.0821313024129173,2.1920781238473324
spring,6,2.0922174836820084,2.184360576793333
spring,7,2.0904325949728992,2.193506975161434
spring,8,2.073135973311084,2.1853714393559036
spring,9,2.0872935169091424,2.188986656935236
spring,10,2.074285132735857,2.1755302904449896
spring,11,2.1020216184881373,2.2005283811654524
spring,12,2.083465301226213,2.1973101353908286
spring,13,2.0801484619775845,2.1825189026013194
spring,14,2.0859711560632532,2.1919622426187177
spring,15,2.093002154360503,2.193627237689343
spring,16,2.088311415961091,2.1872181944032825
spring,17,2.086686780921615,2.184122867878885
spring,18,2.09172596126549,2.178663963910442
spring,19,2.0869153983959454,2.187573651327463
spring,20,2.0832885923560593,2.185009383115547
spring,21,2.0818493842777768,2.193436323894926
spring,22,2.0847223747897825,2.185880771495254
spring,23,2.100334262844874,2.1983556406597313
spring,24,2.082935531548387,2.1889764044617017
spring,25,2.0909712557771316,2.194169821199543
spring,26,2.093445861448105,2.1969775006948242
spring,27,2.0981081329349154,2.192228989373772
spring,28,2.0949699293688537,2.1906324407277555
spring,29,2.0804632684358024,2.188140788940267
spring,30,2.0930278072531774,2.186738539819778
spring,31,2.07651437864322,2.1831388461714516
spring,32,2.096783499430483,2.2061592712168565
spring,33,2.093832965801641,2.1836157664038582
spring,34,2.087294213951864,2.190733425274092
spring,35,2.084546996470346,2.1810078868657
spring,36,2.0911865793143836,2.189109718927064
spring,37,2.087997253902882,2.202101459641816
spring,38,2.085738601506769,2.187969480651786
spring,39,2.0986270160075904,2.195544465240709
spring,40,2.0932791361946466,2.1937309138918497
spring,41,2.0823883696158516,2.1885868594728923
spring,42,2.0809140594780957,2.1883113295637124
spring,43,2.0846688545514094,2.1919941005187034
spring,44,2.090904983046031,2.198491268214398
spring,45,2.08802572095359,2.1739949965425747
spring,46,2.0827172879482174,2.20314206940065
spring,47,2.089551826917595,2.202043479162654
spring,48,2.077355856723043,2.1873999422667323
spring,49,2.0803795358651436,2.191774631400561
spring,50,2.090184630778798,2.2005159664977483
spring,51,2.084027629727909,2.192138408141457
spring,52,2.089691229412573,2.191459215802366
spring,53,2.0849926707031683,2.195772124559845
spring,54,2.0802837369547005,2.1791091224640304
spring,55,2.074978063786544,2.1706393478181223
spring,56,2.098607629456764,2.1934839189016144
spring,57,2.0930265177962957,2.1870889581534607
spring,58,2.090480943337676,2.185642458318723
spring,59,2.0769536769293335,2.166003338329819
spring,60,2.089614597316681,2.18347231405222
spring,61,2.078050642160083,2.190845082579828
spring,62,2.0845326633650716,2.181843861421128
spring,63,2.084663666763988,2.195773064074526
spring,64,2.0732638903057805,2.1755451912352344
spring,65,2.0915483096499976,2.1838042924458874
spring,66,2.0809280403064174,2.1849315637448656
spring,67,2.089531567173736,2.1966309936600394
spring,68,2.084864099600301,2.1858122414371524
spring,69,2.0719018661530577,2.180438076600953
spring,70,2.083913271224035,2.1735492855157563
spring,71,2.088637061600822,2.185266298438938
spring,72,2.093578804375798,2.189647517367118
spring,73,2.0876717657344,2.186613430132638
spring,74,2.0855963695803768,2.1901090221293273
spring,75,2.0910332829801055,2.195714287358331
spring,76,2.0759421244871423,2.1862441157504424
spring,77,2.0824171737149255,2.1996081717939533
spring,78,2.0905936543015,2.189818238522627
spring,79,2.088559690380917,2.1957644641708747
spring,80,2.0874982538645166,2.1788802597717924
spring,81,2.089681686675246,2.188395452226245
spring,82,2.0910045488787334,2.188698197806761
spring,83,2.089499289937426,2.1862954904127228
spring,84,2.084483542760483,2.1822319669004333
spring,85,2.0920259673623,2.183965277103087
spring,86,2.092937544158532,2.1947530790845438
spring,87,2.097275247155969,2.177122224007306
spring,88,2.0912380821427017,2.1866413601394905
spring,89,2.071462744251643,2.1721451547932453
spring,90,2.0844790380627454,2.1851289497920363
spring,91,2.090055716388308,2.192599129016769
spring,92,2.0816431100253223,2.183211758191166
spring,93,2.0895520123924207,2.180117045836735
spring,94,2.0916802202766105,2.188856429477158
spring,95,2.0801369918195034,2.2001877604714335
spring,96,2.0900866783548393,2.1922448266266925
spring,97,2.085048267470518,2.1888580010598226
spring,98,2.072992303140961,2.195451217146095
spring,99,2.076004037881006,2.1866663062372145
spring,100,2.0722993227594806,2.1757161970494168
spring,101,2.096789871163798,2.1975254541399982
spring,102,2.097357151468857,2.1834633053839396
spring,103,2.0744461539073886,2.1735622536217134
spring,104,2.0823804864783884,2.206087925367143
spring,105,2.0831838617724148,2.184923972920476
spring,106,2.0816719679199283,2.189650142451473
spring,107,2.0892032170692314,2.1953716510824983
spring,108,2.0819378839630995,2.1745376000410532
spring,109,2.094970149780851,2.2032041861916523
spring,110,2.0859739690589016,2.195266569492794
spring,111,2.079680601463103,2.1811033804440307
spring,112,2.089415314796231,2.187058706045816
spring,113,2.093325120212926,2.190087538740956
spring,114,2.084385749714934,2.1797162776262597
spring,115,2.1038956519459404,2.196629912644337
spring,116,2.083930777952521,2.202403378434419
spring,117,2.085071307708971,2.1933717444444847
spring,118,2.0816495655549248,2.1862686609145343
spring,119,2.0914297517098,2.1935810368143804
spring,120,2.0857877030088945,2.1967406796854214
spring,121,2.089855474266186,2.195710259794953
spring,122,2.08307552318384,2.1905081194326605
spring,123,2.09672588382417,2.199780758409401
spring,124,2.085692579359697,2.1764492564914057
spring,125,2.085091010377283,2.18432782079523
spring,126,2.0802665709352874,2.1777240745758295
spring,127,2.080245623533472,2.1915916460236464
spring,128,2.0895565948834984,2.1856698032005717
spring,129,2.0872516567854587,2.198213485938341
spring,130,2.090887239573742,2.186380200386552
spring,131,2.083978613503053,2.199229695547264
spring,132,2.0923758963646932,2.1878820273847115
spring,133,2.0797609240716772,2.191046857342295
spring,134,2.0947145959081017,2.2005437426915706
spring,135,2.091408238465474,2.1941160990533257
spring,136,2.084617573538162,2.1775141182304836
spring,137,2.092501574445451,2.191167579971004
spring,138,2.081399129155885,2.1883748020312463
spring,139,2.0926299246898363,2.194082594655586
spring,140,2.093871673349759,2.1973804364837903
spring,141,2.0954640191231753,2.1945563422123175
spring,142,2.0870161070666593,2.178739283211131
spring,143,2.0961867453925294,2.2007600129535905
spring,144,2.0961009095944383,2.197357487629142
spring,145,2.0820391423188096,2.180584897053139
spring,146,2.0933338841044606,2.188134435735458
spring,147,2.0934912604197224,2.192871357441072
spring,148,2.0888445776653164,2.1827399556313876
spring,149,2.083776804002769,2.1736120574403124
spring,150,2.095444949178795,2.195168645557306
spring,151,2.094459754338715,2.2006829116828
spring,152,2.0869896203420844,2.1893259297742866
spring,153,2.0896490646050525,2.187451162310191
spring,154,2.0778741423123077,2.1736327844334946
spring,155,2.0929976088758573,2.1926483630731894
spring,156,2.083672994517472,2.1919178050112684
spring,157,2.0844005035791713,2.184558620585293
spring,158,2.0779504769116834,2.1901025253109903
spring,159,2.07901893413718,2.183377700613675
spring,160,2.0818508846557204,2.1849671956758234
spring,161,2.076460221715232,2.174271624605644
spring,162,2.0944317053624033,2.1934663739263938
spring,163,2.0873603700334056,2.194415643496639
spring,164,2.095645918929774,2.1861687116653736
spring,165,2.0781132115708494,2.174288450272015
spring,166,2.0862111640493595,2.196722009623599
spring,167,2.0813613199508003,2.187250422381542
spring,168,2.085688156135126,2.1844391019865674
spring,169,2.0822327788432498,2.1823906856023787
spring,170,2.0898214486201465,2.1898461875761845
spring,171,2.0841722581220727,2.194334918673473
spring,172,2.078754428933134,2.1674974549091575
spring,173,2.0751432809249506,2.173166167989351
